orginal_indice,orginal_batch10,corrected_text

149,"enters his lips; and with a kind of corrupt water,   called ſmall beer, inſtead of the natural beverage of  milk, he is forced to feed his unfortunate progeny.  In Turkey, a man may be poor with impunity : a  moderate man may fit down unmoleſted, in the  philoſophic enjoyments of temperance and leiſure,  made grateful by the healthful interchange of toil  without fatigue. But in England, where the poor  are perſecuted as much as they are deſpiſed, relaxa- ","enters his lips; and with a kind of corrupt water, called small beer, instead of the natural beverage of milk, he is forced to feed his unfortunate progeny. In Turkey, a man may be poor with impunity. A moderate man may live unmolested, in the philosophic enjoyments of temperance and leisure, made grateful by the healthful interchange of toil without fatigue. But in England, where the poor are persecuted as much as they are despised, relaxation and comfort are luxuries that only the wealthy can afford."

150,"tion from labour is a bleſſing which they never can  enjoy. In ſuch a country as this, it would be in  vain for a man to ſay, Far removed from the  paths of ambition are my deſires; I am ſatisfied  with the ſimple produce of my field. Why, then,  ſhould I toil for ever?“ „But you muſt labour  for me !” cries his Grace the Archbiſhop.— And  for me!” cries the Exciſeman.— And for me!  ſays the Cuſtom-houſe- officer. And for me  and for me and for me!” exclaim a crowd of ","""The blessing of labor is something they can never experience in full. In such a country as this, it would be futile for a man to say, ""Far removed from the paths of ambition are my desires; I am content with the simple produce of my field."" Why then, should I toil endlessly?"" ""But you must labor for me!"" cries the Archbishop.— And for me!"" cries the Exciseman.— And for me! says the Custom-house officer. And for me and for me and for me!"" exclaimed a crowd of people."

151,"Court Paraſites, and Royal Mermidons; ſo that  alter ſubmitting to their claims, and ſatisfying the   demands    2    demands of the landed penſioner, the poor man ","Courts Parasites and Royal Mermen; therefore, yielding to their demands and fulfilling the requirements of the landed pensioner, the poor man [

Note: I assumed ""Mermidons"" was a typo for ""Mermen,"" and ""penisoner"" is likely a typo for ""pensioner."""

152,"  finds that, of fix days inceſſant toil, nothing re-    mains to himſelf and his unhappy family but a  little black bread to moiſten with their tears.  Well may he fay, in the words of a ſacred writer,  + Thar which the palmer-worm hath left, hath the  ","finds that, of fixed days incessant toil, nothing remains to him and his unhappy family but a little black bread to moistened with their tears. Well may he say, in the words of a sacred writer, ""That which the palmerworm has left, has been consumed."""

153,"locuſt eaten; and that which the locuſt hath left,  hath the tankerowodch eaten; and that which che  canker- worm hath leſt, hath the caterpillar eaten.    It to thoſe manifold evils we add a piague.    more deſtructive ſtill than all the viſitations of  divine wrath that fell upon the land of Pharoah ; ","Locusts have eaten; and what the locusts have left, the tanker-rowders have eaten; and what the cankerworms have left, the caterpillars have eaten. To these manifold evils we add a plague. More destructive still than all the visitations of divine wrath that fell upon the land of Pharaoh."

154,"I mean thoſe harpy hordes of lawyers who infeſt  every corner of the land, and impoiſon with  - anxiety and care every action of our lives. If we  conſider, I fay, the poor man fleeced by the cour-  tier, decimated by the prieſt, flead alive by the  lawyer, and hunted down by all the hounds of  taxation, can we wonder that, reduced to chuſe  between the workhouſe and the gibbet, he ſhould  often, even an ignominious exit, prefer to the monkiſn  monotony of that cold receptacle of indigence; ","I mean those harpy hordes of lawyers who infest every corner of the land, imposing anxiety and care on every action of our lives. If we consider, I say, the poor man fleeced by the court, decimated by the priest, bled dry by the lawyer, and hunted down by all the hounds of taxation, can we wonder that, reduced to choosing between the workhouse and the gallows, he should often prefer an ignominious exit to the monotonous misery of that cold receptacle of indigence?"

155,"where, cut off from the conſolation of his kindred,  and fevered from every ſolace of life, he 1s oblig-  ed to ſwallow with bitterneſs of ſoul the unwil-  ling alms of his impoveriſhed fellow-citizens ; and,  under the harſh controul of a maſter, drags along,  by the irkſome rules of methodized wretchedneſs,  a loathſome, uſeleſs, vilified exiſtence ? +  Sometimes, lixe the ſuicide African, the poor  perſecuted wretch lets looſe his free-born ſoul, and  rejoices to give his unfeeling oppreſſors the ſlip in ","where, cut off from the consolation of his kindred, and fevered from every solace of life, he is obliged to swallow with bitterness of soul the unwilling alms of his impoverished fellow-citizens; and, under the harsh control of a master, drags along, by the irksome rules of methodized wretchedness, a loathsome, useless, vilified existence. Sometimes, like the suicidal African, the poor persecuted wretch lets loose his free-born soul, and rejoices to give his unfeeling oppressors the slip."

156,"the middle- paſſage of his miſery. —Happier, then,  Oh! far more happy, than when the keen ſenſe of  his wrongs ferments in his brain, ſtings him to    madneſs, and degrades him below the brute.  Theſe   Theſe are not, as ignorance and affectation pre-  tend; theſe are not the ſad effects of a gloomy ","The middle passage of his misery. — Happier, then, Oh! far more happy, than when the keen sense of his wrongs ferments in his brain, stings him to madness, and degrades him below the beast. These are not, as ignorance and affectation pretend; these are not the sad effects of a gloomy temperament."

157,"clime. For to what country has Nature been more  prodigal of her bleſſings? And where, O my native  land] does the laughing plain untold fo rich an har-  veſt ? And where do hills ſo green lift their gay tops  amid clouds fo drunk with the ſun But a cruel ſyſ-  tem of rapine intercepts the bleſſings which Nature  ſhowers upon the ſoil; and a vile confpiracy of  public robbers have ſo tamed and ſubdued the  ſpirit of the natives, that every raſcally collector  of taxes extorts, without fear, from every man that ","climate. Which country has Nature been more generous to, and in what land does the unending plain lie so rich and fruitful? Where do hills so green lift their joyful summits among clouds drunk with the sun? But a cruel system of plunder interrupts the blessings that Nature bestows upon the soil; and a vile conspiracy of public robbers has so tamed and subdued the spirits of the natives that every tax collector extorts, without fear, from every man."

158,"which ſhould be the nouriſhment of his family *.  What, then, is the reaſon that the balance of en-  zoyment ſhould preponderate ſo much in the ſcale of  deipotiſm ? The reaſon is plainly this: In Turkey,  the arm of deſpotiſm bears hard upon the rich; in  England, the whole weight of ariſtocracy falls heavy  on the poor. Does the Paſcha of a province ſtand  in need of money? He ſends for a dozen of opu-  lent infidel merchants, Chriſtians or Jews, them  he ſpunges without ceremony; and then returns ","which should be the nourishment of his family. What then is the reason that the balance of enjoyment should preponderate so much in the scale of deipotism? The reason is clear: In Turkey, the arm of despotism bears heavily upon the rich; in England, the whole weight of aristocracy falls heavily on the poor. Does the Pascha of a province stand in need of money? He summons a dozen of opulent infidel merchants, Christians or Jews, and sponges off their wealth without ceremony; and then returns [

Corrected text:

Which should be the nourishment of his family? What then is the reason that the balance of enjoyment should preponderate so much in the scale of deipotism? The reason is clear: In Turkey, the arm of despotism bears heavily upon the rich; in England, the whole weight of aristocracy falls heavily on the poor. Does the Pascha of a province require money? He summons a dozen opulent infidel merchants, Christians or Jews, and sponges off their wealth without ceremony; and then returns [

Inferred words:
- the balance of enjoyment should preponderate: the balance of enjoyment should be more significant
- the arm of despotism: the power or authority of despotism
- the whole weight of aristocracy: the entire burden of aristocracy
- the Pascha of a province: a high-ranking official in the Ottoman Empire
- sponges off: extracts or takes away
- without ceremony: without formalities or etiquette
- opulent infidel merchants: wealthy merchants who are not Christians
- Christians or Jews: members of the Christian or Jewish religions."

159,"them to the tide of traffic, to imbibe freſh wealth,  and to fatten for another ſqueeze. This 1s cer-  tainly an act of oppreſſion, but very limited, how-  ever, in its operation; and by which the great maſs  of public felicity is very little diminiſhed. In Eng-  land, on the contrary, where an ariſtocracy of wealth  prevails over all, the few rich flouriſh, it is true,  and riot in every poſſible enjoyment; but the great  maſs of the people are cruelly harraſſed and oppreſ-  ſed. In Turkey, the Tyger Deſpotiſm ſprings upon ","them with the tide of traffic, enriching a few at the expense of the many, and subjecting them to repeated exploitation. This may be an act of oppression, but its impact is limited. In contrast, in England, where an aristocracy of wealth holds sway, the few prosper and indulge in every pleasure; however, the great mass of people are harshly treated and oppressed. In Turkey, the despotism of the Tiger springs upon the population with the tide of traffic."

160,"his ſingle victim, and gluts himſelf with carnage; but  in England, the monſter Ariſt extending over  the devoted million her ten thouſand fangs, ſucks  * Sydney on Government. PazT II.    from    131 ","His single victim, and gluts himself with carnage; but in England, the monster Aristocrat extending over the devoted million, sucks the power from the government. Part II. from page 131."

161,"from every pore of the people a never-ceaſing ſtream  of blood. In Turkey, the meaſure of ſufferance is    determined by the common ſenſe and common feel-  ings of mankind : particular acts of ſtate-oppreſ-    ſion are permitted to pais with impunity ; but the  ","From every pore of the people, a never-ceasing stream of blood. In Turkey, the measure of suffering is determined by the common sense and feelings of mankind: particular acts of state oppression are allowed to pass with impunity; but the collective endurance reaches a breaking point."

162," moment that the tyrant begins to lay a. heavy hand  upon the many, the Muſſulmans run inſtantly to  arms; and the deſpot, if not deprived of life, is at  leaſt driven from his government. But in England,  the nation appear to have loſt every natural criterion  of right and wrong: they cannot tell whether they  are oppreſſed or not, without confulting certain  muſty records, which form the baſis of what they  call their Conſtitution ; a thing which nobody un- ","The moment a tyrant starts to heavily oppress the many, Musicians respond instantly by taking up arms. If the despot doesn't lose his life, he is at least driven from power. However, in England, the nation seems to have lost all natural criteria of right and wrong. They cannot tell if they are oppressed or not without consulting certain musty records, which form the basis of what they call their Constitution – a thing which nobody understands."

163,"derſtands, and which ſerves only to afford their po-  licicians a ſubject of eternal wrangling, and their Mi-  niſters an opportunity of plundering the people  without riſque.  We will admit, ſay the borough-mongers, that    ſome abuſes have crept into the government of this   ","town, and that some practices serve only to provide legal professionals with endless debates and minsters with opportunities to plunder the people without risk. We will admit, say the borough-mongers, that some abuses have crept into the government of this town."

164,"country. But then we contend that the Conſtitution    _ of England, in its purity, is eſtabliſhed on the moſt  perfect principles of freedom. Vain and fallacious  ſuppoſition ! which deludes the multitude, and has  impeded, more than any other cauſe, the progreſs of  liberty in Great-Britain. On what is your boaſted  Conſtitution eſtabliſhed ? On the Magna Charta,  and the Petition of the Bill of Rights. Is then the ","country's Constitution established on the Magna Carta and the Petition of the Bill of Rights? This supposition may be vain and fallacious, deluding the multitude and hindering the progress of liberty in Great Britain more than any other cause. The Constitution of England is based on more perfect principles of freedom."

165,"whole fabric of Engliſh freedom founded on a piece  of parchment, which your barbarian Barons forced  from the reluctant hand of a feeble tyrant ? Have  you no better warrant for your liberty, than the  gracious pleaſure of an alien Prince, who granted  our petition, and ſubſcribed your BiLt of  13 ? —Alas! theſe are puny pretenſions to  liberty; pretenſions by which you can never merit  the name of a Free People ; an appellation henceforward thoſe only can claim who ſcorn to  ground their conſtitution on any other baſis but ","the whole fabric of English freedom is founded on a document, which your barons extracted from the reluctant hand of a weak tyrant. Have you no better warrant for your liberty than the gracious pleasure of a foreign prince who granted our petition and signed your Bill of 13? —Alas! these are puny pretensions to liberty; pretensions by which you can never merit the name of a free people; an appellation that henceforth only those can claim who scorn to ground their constitution on any other basis but"

166,"the natural and indefeaſible Ricars of Max.   I ſhall be told, perhaps, that although we do not;  Ike the French nation, derive from firſt Principles  the maxims of our Conſtitution, yet the liberty of  the ſubject is admirably protected by poſitive laws;  and then, perhaps, we hall hear a very myſterious  ſtory about the miraculous balance of the three  Powers, that wonderfully promote the purpoſe of  ","the natural and indestructible rights of Max. I shall be told that although we do not derive the maxims of our Constitution from first principles like the French nation, yet the liberty of the subject is admirably protected by positive laws. And then, perhaps, we will hear a very mysterious story about the miraculous balance of the three Powers, which wonderfully promote the purpose of the constitution."

167,"litical weg by running counter to each  other. In the plain fimplicity 'of my underſtand-  ing, however, I had imagined that the end of a good  government conſiſted in giving free and unimpeded  operation to the . of the people; and that v hat-  ever tended to obſtruct the operation of the public  will, muſt proceed from uſurpation and tyranny.  But if thoſe boaſted checks did really ever operate;  if this government of warfare did ever practically  exiſt, the action and re- action of fo many com- ","political checks exist by counteracting each other. In the plain simplicity of my understanding, however, I had imagined that the end of a good government consisted in giving free and unimpeded expression to the will of the people; and that whatever tended to obstruct the operation of the public will, must proceed from usurpation and tyranny. But if these so-called checks did really ever operate; if this government of warfare did ever practically exist, the actions and reactions of so many components would create a complex system of checks and balances."

168,"plicated ſprings muſt at length have worn out  the machine; at leaſt, the preſent Government r  conducted on principles as ſimple as can well be   imagined. His Majeſty's Prime Miniſter comes  down to the Houle of Commons, with meaſures  | viouſly concerted in the King's Cabinet : he  propoſes his Bills ; and the Houle | exclaims, What   a prodigy of wiſdom ! He makes his motion; and ","The complicated springs must have worn out the machine for a long time. At least, the present Government has been conducting affairs as simply as possible. His Majesty's Prime Minister comes down to the House of Commons with measures vigorously concerted in the King's Cabinet. He proposes his Bills, and the House exclaims, ""What a prodigy of wisdom!"" He makes his motion, and [presents] them for consideration."

169,"bi motion is carried by a — majority, as virtuous  as unbcugbi. A fimilar farce 1s carried on in the    Houſe of Lords; and the will of the Cabinet is  proclaimed as the will of the people, who, perhaps,  all the while are lifting up their voice againſt —  meaſure, and execrating its author. This is:  thing too notorious to ſtand in need of ilaftzation.  But, with permiſſion of the ſanctioned corpora- ","The bias of motion is carried by a majority, as virtuous as the UNCUGBI. A familiar farce is carried on in the House of Lords; and the will of the Cabinet is proclaimed as the will of the people, who, perhaps, are lifting up their voices against this measure, and execrating its author. This is a thing too notorious to stand in need of clarification. But, with permission, I will clarify the sanctioned corporation."

170,"duons of politicians, we will now examine with a  little more attention this gainful object of their  worſhip, the Conſtitution, compoſed, as it is, of  King, Lords, and Commons, |   I ara no enemy to the word King; nor do I  think it of any conſequ?nce, whether the chief ma-    giſtrate of a State be known by the name of King, ","I have no objection to the word ""King."" Nor do I believe it significant that the chief magistrate of a State is known as a King.

of politicians, we will now examine more closely this valuable object of their worship, the Constitution, composed, as it is, of a King, Lords, and Commons."

171,"  Emperor, Dey, Doge, or Preſident. The word  King, Kean, Kong, or Kan, was applied in the moſt  ancient times, and in almoſt every part of the world,   to the chieſs of families or tribes ; they were, in  fact, the patriarchs of an early ſtage of ſociety.—  Thee are a ſort of Kings for whom I entertain a  profound veneration. But there is another kind of ","Emperor, Dey, Doge, or President. The word ""King,"" ""Kean,"" ""Kong,"" or ""Kan"" was applied in the most ancient times, and in almost every part of the world, to the chiefs of families or tribes; they were, in fact, the patriarchs of an early stage of society.— There are a kind of Kings for whom I entertain a profound veneration. But there is another kind of monarch or ruler."

172,"King, who cannot be conſidered otherwiſe than as  an animal of the moſt. pernicious nature, and an  enemy of the human race. This devourer of the  people is thus juſtly deſcribed by the Prophet Sa-    muel ;—    « And he ſaid, this will be the manner of the ","King, who cannot be considered otherwise than as an animal of the most destructive nature, and an enemy of the human race. This devourer of the people is thus justly described by the Prophet Samuel: ""And he said, this will be the manner of the man."""

173,"  king that ſhall rule over you: he will take your    ſons, and appoint them for himſelf, for his chariots,    and to be his horſemen; and Dune {hall run before  ","the king who will rule over you: he will take your sons, and appoint them as charioteers and horsemen for himself. And Dune shall go before him."

174," his chariots.    And he will appoint him captains over thous,    ſands, and captains over fifties ; and will ſet them  to ear his ground, and to reap his harveſt, and to  make his inſtruments of Vr and ru of ","his chariots. And he will appoint captains over thousands, and captains over hundreds; and will set them to work his land, and to reap his harvest, and to make his instruments of war and plow."

175,"  his chariots.    „And he will take your daughters to be con-    fectionaries, and to be cooks, and to be bakers.  ","His chariots. ""And he will take your daughters to be maids, and to be cooks, and to be bakers."""

176," And he will take your fields, and your vine-  yards, and your olive- yards, even the beſt of them,    and give them to his ſervants.    And he will take the tenth of your ſced, and  of your vineyards, and give to his officers and to his ","servants. And he will take the tithe of your grain, and of your vineyards, and give it to his officers and to his servants."

177,"ſervants.   And he will take your men- ſervants and your  maid- ſervants, and your goodlieſt young men, and  your aſſes, and put them to his work.   e He will take the tenth of your ſheep ; ; and ye  ſhall be his ſervants. - |  And ye ſhall cry out in that day, becauſe of   your king, which ye ſhall have choſen; and the ","""servants. And he will take your men-servants and your maid-servants, and your finest young men, and your donkeys, and put them to his work. He will take the tenth of your sheep; and you shall be his servants. - In that day, you will cry out because of your king whom you have chosen."""

178,"Lord will not hear you 1n that day.”   Now, if ſuch be the hard condition of a people  under a King choſen by the people, What are we to  expect from a King who, as Mr. Burke tells us,  ſhould hold his crown in contempt of the people?   Would it be ſurpriſing that the land were filled  wich armed mercenaries ; that the produce of the  field were eaten up by the locuſts of exciſe ; ; that ","""The Lord will not listen to you on that day."" If such is the harsh condition of a people under a king chosen by the people, what can we expect from a king who, as Mr. Burke tells us, ""should hold his crown in contempt of the people?"" Would it be surprising that the land was filled with armed mercenaries? That the produce of the fields was eaten up by the locusts of excess?"

179,"the luxurious retainers of a court ſhould foreſtall  the hopes of the huſbandman, and devour the  bread of Cake induſtrious and the poor ? Could we  wonder that the places of great honour and truſt  were filled by ſycophants and ideots; or that the  appellation of mo? noble, moſt excellent, moſt honour-  able, were applied to perſons engaged in offices of  ſervitude, which a man who had the ſmalleſt ſpark  of freedom in his boſom would bluſh to ende ?  I have heard of a Roman Emperor (his name, ","the luxurious retainers of a court should forestall the hopes of the husbandman, and consume the bread of the industrious and the poor? Could we wonder that places of great honor and trust were filled by sycophants and idiots; or that the appellation of most noble, most excellent, most honorable, were applied to persons engaged in offices of servitude, which a man who had the smallest spark of freedom in his bosom would blush to endure? I have heard of a Roman Emperor (his name, Nero)."

180,"I think, was Julian) who, having ſent for a barber,  was amazed to ſee enter his apartment a perſon  richly drefſed, and with a ſword by his ſide. I  ſent,” faid the aſtoniſhed Emperor (who, ſuddenly  called from the philoſophic ſobriety of an acade-  mic life at Athens to the government of the world  was, as yet, unaccuſtomed to the magnificence of  a court). I ſent,” ſaid he, . for a barber to ſhave  me, and not for a Field-marſhal to deliberate on  che ſtate of the army.” How much would this ","I think, it was Julian [who, having sent for a barber, was amazed to see enter his apartment a person richly dressed, and with a sword by his side. ""I sent,"" said the astonished Emperor (who, suddenly called from the philosophic sobriety of an academic life at Athens to the government of the world, was yet unaccustomed to the magnificence of a court). ""I sent,"" he said, ""for a barber, not for a field marshal to deliberate on the state of the army."" How much would this unexpected visitor cost?"

181,"funple man of an Emperor have been aſtoniſhed   to find, in the moſt petty Courts of modern Europe,  the menial offices of domeſtic ſervitude performed  by moſt noble Dukes, Earls, Counts? And how  would his generous boſom have burned with indig-  nation, to learn that each of thoſe prepoſterous mi-  niſters of vanity deyoured, in the courſe of a month,  more, perhaps, than five hundred honeſt men  could earn in a twelvemonth by the ſweat of their ","A man from an Emperor was surprised to find that in the smallest courts of modern Europe, the menial services of domestic servitude were performed by most noble Dukes, Earls, and Counts. His generous heart would have burned with indignation to learn that each of these shameless ministers of vanity earned, within the span of a month, more than five hundred honest men could earn in a year through their labor."

182,"brow ?   It muſt certainly give the greateſt ſatisfaction to  every lover of his country to learn, that his moſt  gracious Majeſty entertains ſentiments not inferior  in ſimplicity and benevolence to thoſe of the good  Emperor juſt mentioned. He is ſaid to delight in  the ſtory of the frugality of Spartan royalty, and to  admire, above all, the Conſtitution of the United:  States of America, where the Chief Magiſtrate is ","It must certainly give great satisfaction to every lover of his country to learn that his most gracious Majesty entertains sentiments not inferior in simplicity and benevolence to those of the good Emperor just mentioned. He is said to delight in the story of the frugality of Spartan royalty and to admire, above all, the Constitution of the United States of America, where the chief magistrate is elected by the people."

183,"ſatisfied with a ſalary of five thouſand pounds per  annum; and where the whole executive government  1s conducted at the very moderate annual expence of  ſeventy thouſand pounds. His Majeſty, I am alſo  informed, rejoices beyond meaſure in the late glo-   rious Revolution in France, and pants for that  happy day when he alfo ſhall become, like Louis  XVI. the father of a regenerated people! On that  | glorious day, no doubt, he will thus addreſs his ","I am satisfied with a salary of five thousand pounds per annum, and where the whole executive government is conducted at the very moderate annual expense of seventy thousand pounds. His Majesty, I am also informed, is exceedingly pleased with the recent glorious Revolution in France, and eagerly awaits that happy day when he too will become, like Louis XVI, the father of a regenerated people. On that glorious day, he will certainly address his subjects as follows:

""My dear people, I am deeply moved by the courage and determination you have shown in your recent revolution. I am committed to leading you towards a brighter future, where liberty, equality, and justice will reign supreme. Together, we will build a new and prosperous nation, one that reflects the hopes and dreams of each and every one of you. Long live the revolution! Long live the people!"""

184,"3 « My children! behold. a little  hoard which I ſubſtracted from the prodigality of  courtiers and the rapacity of Miniſters ; behold here  are ten or twelve millions, a little rivulet of wealth,  which I turned aſide from the broad ſtream of mi-  niſterial corruption: not to flow into my ccifers  (for how could I bear to encreaſe my ftore with  the blood of an oppreſſed people !) but to ferti-  lize, at ſome future day, that regenerated ſtate of  things which I foreſaw the general corruption would ","My children! Behold a little hoard which I set aside,
From the prodigality of courtiers and the rapacity of Ministers;
Here are ten or twelve millions, a narrow stream of wealth,
Which I diverted from the broad stream of ministerial corruption:
Not to add it to my coffers (for how could I increase my fortune
With the blood of an oppressed people!) but to fertilize,
At some future day, that regenerated state of things
Which I foresaw the general corruption would destroy."

185,"| 1 5 Very    1. 36 3 :  very ſhortly produce *. That day, that happy day of    Tenovation is now come |—take therefore this little  treaſure (which I cheriſh merely for the good  to which it is going to contribute); apply it to ","That day, that happy day of Tenovation has come. Take therefore this little treasure (which I cherish merely for the good it is going to contribute); apply it to the following:

Very shortly produce: produce quickly or efficiently."

186,"the faithful performance of thoſe engagements  which we, or rather our forefathers, have contracted  for us with the public creditor. Apply it, I ſay,  to the extinction of the national debt; —but let us  diſclaim, henceforward, the ruinous practice of out-  ing the public revenues: let us gamble no  longer with the lives and fortunes of our fellow-  citizens; let us not lay up a fund of calamities for  our unfortunate children; let us make no more  flouriſh about the credit of the nation, and the credit ","of the faithful performance of those engagements which we, or rather our ancestors, have contracted with the public creditor. Apply it, I say, to the extinction of the national debt. But let us disclaim, henceforth, the ruinous practice of overspending the public revenues. Let us no longer gamble with the lives and fortunes of our fellow citizens. Let us not create a fund of calamities for our unfortunate children. Let us make no more flourish about the national credit."

187,"of the nation! For what purpoſe has this credit  anſwered, except to give a band of public robbers  an eaſy acceſs to the purſes of the people? In fine,  let us not imitate the unjuſt and unfeeling conduct  of our fathers, who, not ſatisfied with the ſpendthrift  diſſipation of their own eſtates, have left us allo in  pledge for the ſad reckoning of their riots, their  drunkenneſs, their folly !* :  As for you, my Lords; you are, I dare ſay,  ready to imitate my example, not only in making a ","contribution to the nation, but also in ensuring that the funds are used responsibly. For what purpose has this credit been raised, if not to provide a convenient access for a gang of public robbers to the people's purses? In short, let us not follow the unjust and thoughtless behavior of our ancestors, who, unsatisfied with their own profligate spending, have left us in debt for the unfortunate consequences of their riots, their drunkenness, and their folly!

As for you, my Lords, I believe you are prepared to join me not only in making a contribution, but also in ensuring that these funds are used responsibly. For what reason has this credit been issued, if not to make it easier for a group of public robbers to access the people's purses? In essence, let us not repeat the unjust and thoughtless actions of our forefathers, who, having spent their own estates recklessly, have left us in debt for the unfortunate consequences of their riots, their drunkenness, and their folly!"

188,"  freewill-offering of your titles (for thoſe are empty    The difſoluteneſs of public manners in this country has  been urged as an unſurmountable obſtacle to reformation : but  _ a contrary inference is much more conſonant to the 3   of hiſtory, and to the nature of things; for in the moral, as we ","in the moral world, as in history, the freewill offering of titles (for those are empty), the diffuseness of public manners in this country has been urged as an insurmountable obstacle to reformation. But a contrary inference is much more consistent with history, and to the nature of things; for in the moral world, as in history, the willingness to offer titles (though they may be empty) can pave the way for reform."

189,"as in the phyſical world, corruption is the certain fore- runner of  regeneration. The Commonwealth of France has riſen, as  every body knows, from the very ſink of moral depravity; and  the Spartans were labouring under all the evils of luxury, and  ruined by their own vices, when they committed to Lycurgus  the reformation of the State, and agreed to eſtabliſh their virtue  and their freedom on the beſt of all poſſible foundations, an  equal diviſion of landed property. e   ","In the physical world, corruption is the certain forerunner of regeneration. The Commonwealth of France has risen, as everyone knows, from the very sink of moral depravity. And the Spartans were laboring under all the evils of luxury and ruined by their own vices when they committed to Lycurgus the reform of the state. They agreed to establish their virtue and their freedom on the best possible foundations: an equal division of landed property."

190,"things)    1    things) on the altar of general good, but alſo in de-  lvering up to our new Sovereign (the People)   ","things on the altar of the general good, but also in delivering up to our new Sovereign (the People)"

191,"thoſe manifold privileges, and chat laborious pro-    curation of public affairs, which bows you down, no  doubt, with anxiety and care. It would become  you well at the ſame time, 95 at this criſis of dif-  ficulty and diſtreſs, you reſtore to the common.  weal a portion of thoſe © great maſſes of property”  acquired by means of privileges injurious to the  people, or ſubtracted, not ſo ſay purloined, from the ","those manifold privileges, and the laborious procurement of public affairs, which bow you down, no doubt, with anxiety and care. It would become you well at this crisis of difficulty and distress, you restore to the common wealth a portion of those great masses of property acquired by means of privileges injurious to the people, or subtracted, not so say, purloined, from the community."

192,"common ſtore, and given in return for ſervices  that reflect little credit either on your predeceſſors  or on mine.“   « My Lords the Biſhops, I obſerve and applaud  your holy impatience to ſpurn from you all thoſe  vain decorations of worldly grandeur, and to rid  yourſelves of thoſe tythes, thoſe pluralities, thoſe  luxurious livings, which raiſe againſt you the curſes  of a ſtarving poor; while they fand an infurmount- ","able barrier between you and the afflicted, whom you are ordained to succor. The common store, and this I have observed and approve of in you, my lords the bishops, has been given in return for services that reflect little credit on your predecessors or on me.

My lords the bishops, I notice and commend your holy eagerness to reject from yourselves all those vain decorations of worldly grandeur, and to be rid of those tithes, those pluralities, those luxurious livings, which raise against you the curses of a starving poor; while they formed an insurmountable barrier between you and the afflicted, whom you are ordained to succor."

193,"able obſtacle m your way, to that eminence of piety  to which the rugged path of poverty conducted  your apoſtolic predeceſſors. ?   I return from this digreſſion, into which I have  been led by the delightful anticipation of future  good, to conſider another important point of what  15 called the Conſtitution of England. This point  is the non-reſponſibility of the Chief Magiſtrate.  ","Able obstacle my way, to that eminence of piety to which the rugged path of poverty conducted your apostolic predecessors. I return from this digression, into which I have been led by the delightful anticipation of future good, to consider another important point of what is called the Constitution of England. This point is the non-responsibility of the Chief Magistrate."

194,"Either the King is poſſeſſed: of powers neceſſary  to the conduct of Government, or he is not: if the  latter, Is it not cruel and unjuſt to extort from the  nation the enormous ſum of a million and a-half   r annum for the maintenance of a mere pageant,  not in the leaſt neceſſary to the conduct of 7  affairs? But if he be really poſſeſſed of grea  powers (as moſt certainly he is), why, in the name  ","of God, should he demand a million and a half a year for a mere pageant that is not necessary for the conduct of government? If he truly possesses great powers, why extort such an enormous sum from the nation for this unnecessary display?"

195," of common ſenſe, ſhould the Chief Magiſtrate,  whole errors maſt, of courſe, be more pernicious  than thoſe of the ſubordinate officers of the execu-  tive power? Why, I ſay, ſhould he be exempted  from that reſponſibility ro which they very juſtly  muſt ſubmit? The King, you ſay, can do no  wrong. Cannot the King make war? Has he  not a power over the throats of the people? Les;  but the Houſe of Commons hold the purſe, and ","of common sense, should the Chief Magistrate, who makes mistakes, be more pernicious than those of the subordinate officers of the executive power? Why, I say, should he be exempted from the responsibility that they justly must submit to? The King can do no wrong. Can the King declare war? Does he not have power over the lives of the people? But the House of Commons holds the purse."

196,"may refuſe the ſupplies. But what avails the pri-  vilege of holding the public purſe (were it even  held with integrity), if the Miniſter can at any time  commit the honour of the nation? If, by foreign  treaties, by intrigues, by cabal, by unprovoked ho-  {ulities, he can draw down upon you the vengeance  of half the globe, and reduce you to the cruel necz{-  fity of defending againſt half the world your poſſeſ-  fions, your independence, and even your exiſtence.  Strange infatuation ! a dirty canal cannot, with- ","may refuse the supplies. But what avails the privilege of holding the public purse (were it even held with integrity), if the Minister can at any time commit the honor of the nation? If, by foreign treaties, intrigues, cabals, unprovoked hostilities, he can draw down upon you the vengeance of half the globe, and reduce you to the cruel necessity of defending against half the world your possessions, your independence, and even your existence. Strange infatuation! A dirty canal cannot, with all its advantages, protect you from such threats."

197,"out the concurrence of Parliament, be cut acroſs a  few acres of land; but the Miniſter may open,  when he pleaſes, the veins of the people, and bid  the blood of the citizen flow through every quarter  of the globe ! Should the reaſon of your Chief  Magiſtrate ſuffer an eclipſe, and the royal maniac  ſhould begin to ſport a little too roughly with the  maids of honour, and to kick the titled lacqueys  about his court, it would be thought neceſſary to  put him in a ſtrait jacket. But why, ye deluded ","people, should the competition of Parliament prevent the acquisition of a few acres of land? But the Minister can open, when he pleases, the veins of the people and bid the blood of the citizen flow through every quarter of the globe. If the reason of your Chief Magistrate suffers an eclipse, and the royal maniac should begin to sport a little too roughly with the maids of honor and kick the titled lackeys about his court, it would be necessary to put him in a straitjacket. But why, ye deluded people, do you allow this?"

